,Time,y
0,2020-01-22,
1,2020-01-23,0.0
2,2020-01-24,0.001
3,2020-01-25,0.0
4,2020-01-26,0.003
5,2020-01-27,0.0
6,2020-01-28,0.0
7,2020-01-29,0.001
8,2020-01-30,0.0
9,2020-01-31,0.002
10,2020-02-01,0.0
11,2020-02-02,0.0
12,2020-02-03,0.003
13,2020-02-04,0.0
14,2020-02-05,0.0
15,2020-02-06,0.001
16,2020-02-07,0.0
17,2020-02-08,0.0
18,2020-02-09,0.0
19,2020-02-10,0.0
20,2020-02-11,0.001
21,2020-02-12,0.0
22,2020-02-13,0.001
23,2020-02-14,0.0
24,2020-02-15,0.0
25,2020-02-16,0.0
26,2020-02-17,0.0
27,2020-02-18,0.0
28,2020-02-19,0.0
29,2020-02-20,0.0
30,2020-02-21,0.002
31,2020-02-22,0.0
32,2020-02-23,0.0
33,2020-02-24,0.0
34,2020-02-25,0.0
35,2020-02-26,0.0
36,2020-02-27,0.001
37,2020-02-28,0.0
38,2020-02-29,0.008
39,2020-03-01,0.007
40,2020-03-02,0.023
41,2020-03-03,0.019
42,2020-03-04,0.033
43,2020-03-05,0.077
44,2020-03-06,0.053
45,2020-03-07,0.166
46,2020-03-08,0.116
47,2020-03-09,0.075
48,2020-03-10,0.188
49,2020-03-11,0.365
50,2020-03-12,0.439
51,2020-03-13,0.633
52,2020-03-14,0.759
53,2020-03-15,0.234
54,2020-03-16,1.467
55,2020-03-17,1.833
56,2020-03-18,2.657
57,2020-03-19,4.494
58,2020-03-20,6.367
59,2020-03-21,5.995
60,2020-03-22,8.873
61,2020-03-23,11.238
62,2020-03-24,10.619
63,2020-03-25,12.082
64,2020-03-26,17.856
65,2020-03-27,18.69
66,2020-03-28,19.63
67,2020-03-29,18.899
68,2020-03-30,22.075
69,2020-03-31,26.314
70,2020-04-01,32.243
71,2020-04-02,32.235
72,2020-04-03,32.287
73,2020-04-04,32.416
74,2020-04-05,29.877
75,2020-04-06,31.381
76,2020-04-07,30.767
77,2020-04-08,31.192
78,2020-04-09,35.941
79,2020-04-10,34.415
80,2020-04-11,29.13
81,2020-04-12,27.255
82,2020-04-13,26.93
83,2020-04-14,28.781
84,2020-04-15,25.44
85,2020-04-16,30.035
86,2020-04-17,33.03
87,2020-04-18,27.932
88,2020-04-19,26.096
89,2020-04-20,29.828
90,2020-04-21,25.917
91,2020-04-22,28.859
92,2020-04-23,33.57
93,2020-04-24,32.327
94,2020-04-25,30.395
95,2020-04-26,26.501
96,2020-04-27,23.703
97,2020-04-28,24.577
98,2020-04-29,26.438
99,2020-04-30,29.22
100,2020-05-01,34.926
101,2020-05-02,27.35
102,2020-05-03,24.297
103,2020-05-04,24.085
104,2020-05-05,24.531
105,2020-05-06,24.559
106,2020-05-07,27.412
107,2020-05-08,26.838
108,2020-05-09,25.136
109,2020-05-10,18.867
110,2020-05-11,19.271
111,2020-05-12,22.947
112,2020-05-13,20.408
113,2020-05-14,26.818
114,2020-05-15,24.747
115,2020-05-16,24.159
116,2020-05-17,18.363
117,2020-05-18,22.39
118,2020-05-19,21.007
119,2020-05-20,22.697
120,2020-05-21,25.766
121,2020-05-22,23.656
122,2020-05-23,21.112
123,2020-05-24,20.067
124,2020-05-25,18.672
125,2020-05-26,19.65
126,2020-05-27,18.549
127,2020-05-28,22.322
128,2020-05-29,24.472
129,2020-05-30,23.633
130,2020-05-31,18.987
131,2020-06-01,17.435
132,2020-06-02,21.503
133,2020-06-03,19.844
134,2020-06-04,21.649
135,2020-06-05,25.4
136,2020-06-06,21.16
137,2020-06-07,17.916
138,2020-06-08,17.637
139,2020-06-09,18.382
140,2020-06-10,21.11
141,2020-06-11,23.132
142,2020-06-12,24.865
143,2020-06-13,25.208
144,2020-06-14,18.948
145,2020-06-15,19.819
146,2020-06-16,23.67
147,2020-06-17,27.058
148,2020-06-18,28.522
149,2020-06-19,31.56
150,2020-06-20,32.269
151,2020-06-21,25.146
152,2020-06-22,32.147
153,2020-06-23,37.063
154,2020-06-24,35.858
155,2020-06-25,40.315
156,2020-06-26,45.982
157,2020-06-27,41.34
158,2020-06-28,40.725
159,2020-06-29,41.279
160,2020-06-30,46.426
161,2020-07-01,51.809
162,2020-07-02,56.627
163,2020-07-03,51.357
164,2020-07-04,45.679
165,2020-07-05,50.769
166,2020-07-06,43.072
167,2020-07-07,60.642
168,2020-07-08,60.11
169,2020-07-09,62.487
170,2020-07-10,68.039
171,2020-07-11,60.015
172,2020-07-12,58.45
173,2020-07-13,58.889
174,2020-07-14,68.012
175,2020-07-15,68.107
176,2020-07-16,75.809
177,2020-07-17,72.249
178,2020-07-18,62.537
179,2020-07-19,60.471
180,2020-07-20,62.082
181,2020-07-21,64.487
182,2020-07-22,70.561
